original_column_name,clean_name,domain,subdomain,indicator_type,measurement_unit,directionality,is_contextual,is_substantive_health,is_health_system,is_demographic,is_socioeconomic,policy_relevance,missingness_rate,low_sample_value_count,clustering_candidate,holdout_candidate,exclusion_reason,review_status,min,max,mean,median
District Names,District Names,unknown,unknown,identifier,unknown,review_required,False,False,False,False,False,N/A,0.0,0,False,False,N/A,pending,,,,
State/UT,State/UT,unknown,unknown,identifier,unknown,review_required,False,False,False,False,False,N/A,0.0,0,False,False,N/A,pending,,,,
Number of Households surveyed,Number of Households surveyed,survey_metadata,unknown,survey_metadata,unknown,review_required,False,False,False,False,False,N/A,0.0,0,False,False,N/A,pending,213.0,990.0,900.4816,908.0
Number of Women age 15-49 years interviewed,Number of Women age 15-49 years interviewed,survey_metadata,unknown,survey_metadata,unknown,review_required,False,False,False,False,False,N/A,0.0,0,False,False,N/A,pending,216.0,1621.0,1023.9292,1020.0
Number of Men age 15-54 years interviewed,Number of Men age 15-54 years interviewed,survey_metadata,unknown,survey_metadata,unknown,review_required,False,False,False,False,False,N/A,0.0,0,False,False,N/A,pending,17.0,241.0,143.9759,145.0
Female population age 6 years and above who ever attended school (%),Female population age 6 years and above who ever attended school,literacy_education,unknown,socioeconomic,percentage,review_required,True,False,False,False,True,review_required,0.0,0,review_required,review_required,N/A,pending,45.4,99.2,71.5144,71.35
Population below age 15 years (%),Population below age 15 years,demographics,unknown,demographic,percentage,review_required,True,False,False,True,False,review_required,0.0,0,review_required,review_required,N/A,pending,16.0,50.6,26.3678,25.4
"Sex ratio of the total population (females per 1,000 males)","Sex ratio of the total population (females per 1,000 males)",demographics,unknown,demographic,ratio_per_1000,review_required,True,False,False,True,False,review_required,0.0,0,review_required,review_required,N/A,pending,755.0,1332.0,1020.6402,1013.0
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","Sex ratio at birth for children born in the last five years (females per 1,000 males)",demographics,unknown,demographic,ratio_per_1000,review_required,True,False,False,True,False,review_required,0.0,2,review_required,review_required,N/A,pending,658.0,1485.0,944.796,932.5
Children under age 5 years whose birth was registered with the civil authority (%),Children under age 5 years whose birth was registered with the civil authority,child_health,unknown,other_health,percentage,review_required,False,True,False,False,False,review_required,0.0,0,review_required,review_required,N/A,pending,51.6,100.0,91.0565,94.85
