row_index,district_raw,district_stripped,state_raw,state_stripped,has_whitespace_issue
0,Nicobars,Nicobars,Andaman & Nicobar Islands,Andaman & Nicobar Islands,False
1,North & Middle Andaman,North & Middle Andaman,Andaman & Nicobar Islands,Andaman & Nicobar Islands,False
2,South Andaman,South Andaman,Andaman & Nicobar Islands,Andaman & Nicobar Islands,False
3,Srikakulam,Srikakulam,Andhra Pradesh,Andhra Pradesh,False
4,Vizianagaram,Vizianagaram,Andhra Pradesh,Andhra Pradesh,False
5,Visakhapatnam,Visakhapatnam,Andhra Pradesh,Andhra Pradesh,False
6,East Godavari,East Godavari,Andhra Pradesh,Andhra Pradesh,False
7,West Godavari,West Godavari,Andhra Pradesh,Andhra Pradesh,False
8,Krishna,Krishna,Andhra Pradesh,Andhra Pradesh,False
9,Guntur,Guntur,Andhra Pradesh,Andhra Pradesh,False
10,Prakasam,Prakasam,Andhra Pradesh,Andhra Pradesh,False
11,Sri Potti Sriramulu Nello,Sri Potti Sriramulu Nello,Andhra Pradesh,Andhra Pradesh,False
12,Y.S.R.,Y.S.R.,Andhra Pradesh,Andhra Pradesh,False
13,Kurnool,Kurnool,Andhra Pradesh,Andhra Pradesh,False
14,Anantapur,Anantapur,Andhra Pradesh,Andhra Pradesh,False
15,Chittoor,Chittoor,Andhra Pradesh,Andhra Pradesh,False
16,Tawang,Tawang,Arunachal Pradesh,Arunachal Pradesh,False
17,West Kameng,West Kameng,Arunachal Pradesh,Arunachal Pradesh,False
18,East Kameng,East Kameng,Arunachal Pradesh,Arunachal Pradesh,False
19,Papum Pare,Papum Pare,Arunachal Pradesh,Arunachal Pradesh,False
20,Upper Subansiri,Upper Subansiri,Arunachal Pradesh,Arunachal Pradesh,False
21,Upper Siang,Upper Siang,Arunachal Pradesh,Arunachal Pradesh,False
22,Changlang,Changlang,Arunachal Pradesh,Arunachal Pradesh,False
23,Lower Subansiri,Lower Subansiri,Arunachal Pradesh,Arunachal Pradesh,False
24,Dibang Valley,Dibang Valley,Arunachal Pradesh,Arunachal Pradesh,False
25,Lower Dibang Valley,Lower Dibang Valley,Arunachal Pradesh,Arunachal Pradesh,False
26,Anjaw,Anjaw,Arunachal Pradesh,Arunachal Pradesh,False
27,East Siang,East Siang,Arunachal Pradesh,Arunachal Pradesh,False
28,Kra Daadi,Kra Daadi,Arunachal Pradesh,Arunachal Pradesh,False
29,Kurung Kumey,Kurung Kumey,Arunachal Pradesh,Arunachal Pradesh,False
30,Lohit,Lohit,Arunachal Pradesh,Arunachal Pradesh,False
31,Longding,Longding,Arunachal Pradesh,Arunachal Pradesh,False
32,Namsai,Namsai,Arunachal Pradesh,Arunachal Pradesh,False
33,Siang,Siang,Arunachal Pradesh,Arunachal Pradesh,False
34,Tirap,Tirap,Arunachal Pradesh,Arunachal Pradesh,False
