column_name,classification,is_composite,is_derived,derivation_description,underlying_components,clustering_risk,recommended_treatment,confidence,notes
District Names,Identifier,False,False,,,none,exclude,medium,
State/UT,Identifier,False,False,,,none,exclude,medium,
Number of Households surveyed,Statistical Metadata,False,False,,,none,exclude,medium,
Number of Women age 15-49 years interviewed,Statistical Metadata,False,False,,,none,exclude,medium,
Number of Men age 15-54 years interviewed,Statistical Metadata,False,False,,,none,exclude,medium,
Female population age 6 years and above who ever attended school (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Population below age 15 years (%),Raw/Direct Indicator,False,False,,,low,include,medium,
"Sex ratio of the total population (females per 1,000 males)",Ratio/Rate,False,True,"Females per 1,000 males",,high (scale difference),include_after_scaling,medium,
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Ratio/Rate,False,True,"Females per 1,000 males",,high (scale difference),include_after_scaling,medium,
Children under age 5 years whose birth was registered with the civil authority (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Deaths in the last 3 years registered with the civil authority (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Population living in households with electricity (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Population living in households with an improved drinking-water source1 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Population living in households that use an improved sanitation facility2 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Households using clean fuel for cooking3 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Households using iodized salt (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Households with any usual member covered under a health insurance/financing scheme (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women (age 15-49) who are literate4 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women (age 15-49)  with 10 or more years of schooling (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women age 20-24 years married before age 18 years (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Births in the 5 years preceding the survey that are third or higher order (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any method6 (%),Derived Indicator,False,True,Aggregate of individual contraceptive methods,"Pill, IUD, Condom, Sterilization, etc.",high (redundancy),include,medium,Aggregate behavioral indicator.
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),Derived Indicator,False,True,Aggregate of individual contraceptive methods,"Pill, IUD, Condom, Sterilization, etc.",high (redundancy),include,medium,Aggregate behavioral indicator.
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Male sterilization (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Condom (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Injectables (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Total Unmet need for Family Planning (Currently Married Women Age 15-49  years)7 (%),Derived Indicator,False,True,Sum of unmet need for spacing and limiting,"Unmet need for spacing, Unmet need for limiting",high (redundancy),include,medium,"If included, exclude the sub-components to prevent double-counting."
Unmet need for spacing (Currently Married Women Age 15-49  years)7 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Health worker ever talked to female non-users about family planning (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Current users ever told about side effects of current method of family planning8 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Mothers who had an antenatal check-up in the first trimester  (for last birth in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey)9 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey} (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),Raw/Direct Indicator,False,False,,,high (scale difference),include_after_scaling,medium,Different unit (Rs). Requires scaling.
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (for last birth in the 5 years before the survey} (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Institutional births (in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Institutional births in public facility (in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Home births that were conducted by skilled health personnel  (in the 5 years before the survey)10 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Births attended by skilled health personnel (in the 5 years before the survey)10 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Births delivered by caesarean section (in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),Composite Score,True,False,"Requires BCG, measles, and 3 doses of polio and DPT","BCG, Polio 1-3, DPT 1-3, Measles",high (circularity),include,medium,Composite index. Including both this and the individual vaccines weights immunization too heavily.
Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),Composite Score,True,False,"Requires BCG, measles, and 3 doses of polio and DPT","BCG, Polio 1-3, DPT 1-3, Measles",high (circularity),include,medium,Composite index. Including both this and the individual vaccines weights immunization too heavily.
Children age 12-23 months who have received BCG (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 12-23 months who have received 3 doses of polio vaccine13 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 12-23 months who received most of their vaccinations in a public health facility (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 12-23 months who received most of their vaccinations in a private health facility (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (Children under age 5 years) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (Children under age 5 years) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children swith diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children under age 3 years breastfed within one hour of birth15 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children under age 6 months exclusively breastfed16 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",Raw/Direct Indicator,False,False,,,low,include,medium,
"Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",Raw/Direct Indicator,False,False,,,low,include,medium,
"Total children age 6-23 months receiving an adequate diet16, 17  (%)",Derived Indicator,False,True,Combines breastfed and non-breastfed diet adequacy,"Breastfeeding children adequate diet, Non-breastfeeding children adequate diet",high (redundancy),include,medium,
Children under 5 years who are stunted (height-for-age)18 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children under 5 years who are wasted (weight-for-height)18 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children under 5 years who are severely wasted (weight-for-height)19 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children under 5 years who are underweight (weight-for-age)18 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children under 5 years who are overweight (weight-for-height)20 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Composite Index/Score,True,True,,,high (circularity),include,medium,Composite index. Baseline candidate.
Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
All women age 15-49 years who are anaemic22 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
All women age 15-19 years who are anaemic22 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level23 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level23 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Men age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women age 15 years and above who use any kind of tobacco (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Men age 15 years and above who use any kind of tobacco (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Women age 15 years and above who consume alcohol (%),Raw/Direct Indicator,False,False,,,low,include,medium,
Men age 15 years and above who consume alcohol (%),Raw/Direct Indicator,False,False,,,low,include,medium,
